qid,docid,llm_grade,systems,model
104_2,CAR_dd823649d62c382b6b990a660bb7453c187f3543,0,raw,gpt-4o-2024-08-06
104_2,CAR_e1f9b4b9f058d2e867ba1c145c2281854c5de056,0,raw,gpt-4o-2024-08-06
104_2,CAR_f16ccc29f1a9db82a02b6f7ffd0ba9de486caf18,0,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
104_2,CAR_f3fc4fcdfa5ba583ce93ce15888de91d453878e1,0,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
104_2,CAR_f46fe6388a171ec579a94346b4f2f2208902fcd4,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
104_2,CAR_fe0981a23a8b7f883a3f12ae86c33fda22dc89a6,0,quretec,gpt-4o-2024-08-06
104_2,MARCO_1880431,0,raw,gpt-4o-2024-08-06
104_2,MARCO_2274560,0,raw,gpt-4o-2024-08-06
104_2,MARCO_2600035,0,gpt-4o-mini,gpt-4o-2024-08-06
104_2,MARCO_4265664,0,gpt-4o-mini,gpt-4o-2024-08-06
104_2,MARCO_7242945,0,gpt-4o-mini,gpt-4o-2024-08-06
104_3,CAR_07088e9747def404358e3cd02762735c7d5a4369,0,t5,gpt-4o-2024-08-06
104_3,CAR_1024edc254c3fb3c4917e13ff6955f7f3303bfc2,0,raw,gpt-4o-2024-08-06
104_3,CAR_108c1e954fb49da44865c3e8840e7235b8474fb7,0,t5,gpt-4o-2024-08-06
104_3,CAR_17ce5630172c950e45e284afa5b68feee0f52fb2,0,raw,gpt-4o-2024-08-06
104_3,CAR_46a7e2a32973c2b896ad471178a196c8e4ff8d34,0,raw,gpt-4o-2024-08-06
104_3,CAR_589997b238ba5905b963a31e239ef241b086aef7,0,raw,gpt-4o-2024-08-06
104_3,CAR_70d820e8871970b1bbc7856108b6c0a769757ee4,0,raw,gpt-4o-2024-08-06
104_3,CAR_73ec28d0f53d4631100825d6686cd9fe5f053105,0,raw,gpt-4o-2024-08-06
104_3,CAR_959cc13d8cdd9d14bbc24f46a2d0eb5fd7c6c3fc,0,t5,gpt-4o-2024-08-06
104_3,CAR_97da214509d339c7a7270b1ae1f28858b7654334,0,raw,gpt-4o-2024-08-06
104_3,CAR_bc102c7f70532aee3bc4084c3502b520c9222af6,0,gpt-4o|human|quretec,gpt-4o-2024-08-06
104_3,CAR_d7f9b15c1a21f5b0af921e3995f21725aa72c593,0,gpt-4o-mini,gpt-4o-2024-08-06
104_3,CAR_ee6b9943c63f38aff04aeaf4b6fe040b053d4008,0,quretec|t5,gpt-4o-2024-08-06
104_3,CAR_f3b797a71326daea1d112c3179986d676971458b,0,raw,gpt-4o-2024-08-06
104_3,CAR_fc4a0bd6d9aabcef7f5ec938dbfb4b75e8dc866c,0,raw,gpt-4o-2024-08-06
104_4,CAR_00ea0ee12b8415e14fe0dabdb74376a3a61e47ed,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
104_4,CAR_07088e9747def404358e3cd02762735c7d5a4369,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
104_4,CAR_29165bc9dc441590a9f707c8d60bee5a59905e00,0,gpt-4o-mini,gpt-4o-2024-08-06
104_4,CAR_2ea584d723fe7f840845803ba1e964346348d25a,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
104_4,CAR_49da9f1b178dff8dd7eab07bd0ae215a57942384,0,raw,gpt-4o-2024-08-06
104_4,CAR_5191c68a71180d351056d081c757a885ca104e9f,0,raw,gpt-4o-2024-08-06
104_4,CAR_78a2762bdc77e363ddf6beb7254687e0d29a0808,0,raw,gpt-4o-2024-08-06
104_4,CAR_7ecbf4b66ffb2d43c68c200627d8abe593ba8f49,0,raw,gpt-4o-2024-08-06
104_4,CAR_7f50276dbb48a50088cfafa30cacd4fec7eb746a,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
104_4,CAR_817911ea0986a688f240e119a97e48bbef40f62e,0,llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
104_4,CAR_853ea2c8d53e1acd598d25d2ac9a26ea0dcbc648,0,gpt-4o-mini|raw,gpt-4o-2024-08-06
104_4,CAR_8a74a73d905ec77e11be01bea62d8c703c588087,0,gpt-4o-mini,gpt-4o-2024-08-06
104_4,CAR_91501a4404cbdee37626e5b7d6b0e6a7031a6d03,0,human|llama-3.3-70b-versatile,gpt-4o-2024-08-06
104_4,CAR_9ff727bc8fc0abffd172d1b1e090d67f102cfefb,0,gpt-4o-mini,gpt-4o-2024-08-06
104_4,CAR_a533144f8aeca28c7800e298a1381007e48c9f5b,0,gpt-4o-mini|raw,gpt-4o-2024-08-06
104_4,CAR_c34afc002073d00746a58b516e7d8099ced9018c,0,t5,gpt-4o-2024-08-06
104_4,CAR_c980cc2903640150047a1e8ce242647b5d7e35fd,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
104_4,CAR_d495f6a29548707bfdacca9f45adb7cf539057f3,0,raw,gpt-4o-2024-08-06
104_4,CAR_d6cf9cdcebe2755363aec9621abdbee1f673d5de,0,gpt-4o-mini,gpt-4o-2024-08-06
104_4,CAR_d7b6ea3e5726af27b76188d0ca48528b0c9fa572,0,raw,gpt-4o-2024-08-06
104_4,CAR_d941737edbfc2b4c735f5a9088bdc37d73ec472b,0,gpt-4o-mini,gpt-4o-2024-08-06
104_4,CAR_ea51b5d67fe90bbbed59520b6dbc0f551f80d8cc,0,gpt-4o-mini,gpt-4o-2024-08-06
104_4,CAR_ee8b04df97d071635fb10a123f2b0c5a0762f556,0,gpt-4o-mini,gpt-4o-2024-08-06
104_4,CAR_f0c45d494c0d6a373409c022c3f3f2d3244e3d0b,0,raw,gpt-4o-2024-08-06
104_4,MARCO_1072543,0,gpt-4o-mini|raw,gpt-4o-2024-08-06
104_5,CAR_07088e9747def404358e3cd02762735c7d5a4369,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
104_5,CAR_10e044bdb399f84468707b761cd37eecd206af2d,0,gpt-4o,gpt-4o-2024-08-06
104_5,CAR_12dc2d7500895087714c5ea0c17032904059da8c,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
104_5,CAR_1e27b2278cb15492241b969cac52f37fb7758f82,0,human,gpt-4o-2024-08-06
104_5,CAR_25c79fc28271daa421cfc26a4814ac0346adf3f3,0,quretec|t5,gpt-4o-2024-08-06
104_5,CAR_74aafb8c752b61eaa0ac4873d66e6455271efe45,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
104_5,CAR_768b3834180c5021aad4f06d9311c7a2154b99dc,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
104_5,CAR_7a0c7b56de057e50b7539282d679e2c30a5dec5f,0,gpt-4o|gpt-4o-mini,gpt-4o-2024-08-06
104_5,CAR_889808fb97a99a5b1dfbd472f9ce70abfb9b7a05,0,raw,gpt-4o-2024-08-06
104_5,CAR_a2e733464c7d0b5cb1b9e1b156a7b82c7224e001,0,raw,gpt-4o-2024-08-06
104_5,CAR_d3126c3cc29ed7e6369e30cdc60874d44af3b781,0,gpt-4o-mini,gpt-4o-2024-08-06
104_5,CAR_d814d7b14b31e3ac9303666b0836064622a5f811,0,gpt-4o,gpt-4o-2024-08-06
104_5,CAR_db0338d8f4ba3cde1db10ef592a9a9d8fbcfd7fe,0,gpt-4o-mini,gpt-4o-2024-08-06
104_5,CAR_e4cbed9bbc61e51d42f7e4d062c007e70c566532,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
104_5,CAR_fabedc2bb5a144c9cbd09e0073cb2e2d7743758c,0,gpt-4o-mini|t5,gpt-4o-2024-08-06
104_5,CAR_ff63883c8d6ba19ce00e4c8d8e434b4c0920763e,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
104_5,MARCO_4554499,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
104_5,MARCO_4833536,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
104_6,CAR_07088e9747def404358e3cd02762735c7d5a4369,0,gpt-4o,gpt-4o-2024-08-06
104_6,CAR_0cf488b74921699cea8321b96097eecc1ed95ff8,0,quretec,gpt-4o-2024-08-06
104_6,CAR_108c1e954fb49da44865c3e8840e7235b8474fb7,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
104_6,CAR_1d533041b364cc406c53cf3e60a337580e1dd183,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
104_6,CAR_1fcd67427e08de1a3e6408bb1c01176378be1c85,0,gpt-4o,gpt-4o-2024-08-06
104_6,CAR_2060b1f1c97963e469292f3a2722a248e64d2b5f,0,raw,gpt-4o-2024-08-06
104_6,CAR_27871d9883da7bb2dc1fedd7c06037e40bfee7f8,0,quretec,gpt-4o-2024-08-06
104_6,CAR_29105fe8bbf86f5e5e3e1477394cf09bad8f1eb4,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
104_6,CAR_2ea584d723fe7f840845803ba1e964346348d25a,0,gpt-4o,gpt-4o-2024-08-06
104_6,CAR_5585527d9e7e9ccb9f826f2f9d8e0e85a1bf078d,0,gpt-4o-mini,gpt-4o-2024-08-06
104_6,CAR_583d0e47e3ee50e3297098b22f8c497a1afba8c7,0,gpt-4o-mini|raw|t5,gpt-4o-2024-08-06
104_6,CAR_5aee43bc8213f8accb6e90bc354bc34c137c3013,0,gpt-4o-mini|raw,gpt-4o-2024-08-06
104_6,CAR_71a6397c01dae0efa413d81f68e0f74490429526,0,gpt-4o-mini,gpt-4o-2024-08-06
104_6,CAR_7f50276dbb48a50088cfafa30cacd4fec7eb746a,0,gpt-4o,gpt-4o-2024-08-06
104_6,CAR_8a9ce29c7eba7108b36daffda495ad3a73a24ccc,0,quretec,gpt-4o-2024-08-06
104_6,CAR_8e7af89d311d8ab5ac443ef2ab9cb6743012455b,0,t5,gpt-4o-2024-08-06
104_6,CAR_9864cf838c299d2492fbb9cb669ebadb6ab680f8,0,gpt-4o-mini,gpt-4o-2024-08-06
104_6,CAR_a04d67e81d46b7ed503be6a2f40064dddb095f1e,0,gpt-4o,gpt-4o-2024-08-06
104_6,CAR_ad7caf7e2e37fe241fbffdd70c4457dcc61f2c9b,0,quretec,gpt-4o-2024-08-06
104_6,CAR_b6c13992b5422cfc32a377669396c94ce58605ba,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
104_6,CAR_c8b6db8bad7144037c0ad847e1c7468655e1a6cc,0,human,gpt-4o-2024-08-06
104_6,CAR_c8e4f27dc2b21aa9dd62ec6a5604e61a4754e6d8,0,gpt-4o,gpt-4o-2024-08-06
104_6,CAR_d60662a102f6951f8aaddec6933e2f8da5bf6db2,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
104_6,CAR_e60d8929817f01f50d28e5ad5a0bdf22b08f01bc,0,gpt-4o-mini,gpt-4o-2024-08-06
104_6,CAR_e733a0849ca29b34a3a94ffbd7eb061e96f5d2cc,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
104_6,CAR_ed05a21e7388205ddbc3e57d66aa4be9c4a33a19,0,t5,gpt-4o-2024-08-06
104_6,CAR_f64ff377e9bb622e6cdd86a82ee9984e70b15c8f,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
104_6,CAR_f959d1112006089ece20fe4c78cb2f54eab1a630,0,gpt-4o,gpt-4o-2024-08-06
104_6,MARCO_2304794,0,quretec,gpt-4o-2024-08-06
104_6,MARCO_2945982,0,raw,gpt-4o-2024-08-06
104_6,MARCO_3537866,0,gpt-4o-mini,gpt-4o-2024-08-06
104_6,MARCO_4790400,0,raw,gpt-4o-2024-08-06
104_6,MARCO_4943935,0,raw,gpt-4o-2024-08-06
104_6,MARCO_5601970,0,raw,gpt-4o-2024-08-06
104_6,MARCO_5942895,0,gpt-4o-mini,gpt-4o-2024-08-06
104_6,MARCO_6945685,0,gpt-4o-mini,gpt-4o-2024-08-06
104_6,MARCO_7151453,0,gpt-4o-mini,gpt-4o-2024-08-06
104_6,MARCO_7770506,0,raw,gpt-4o-2024-08-06
104_7,CAR_76c552ba5312091ab3cb55b6d24662487f23fdb3,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
104_7,CAR_8a73735bfc791226598bf2a18e7a95a80b0f994b,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
104_7,CAR_8a9241b8eadfa683207bec14984b59680a5f5895,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
104_7,CAR_c804440c50c06c91eee60faf7891bbbd353fea69,0,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
104_7,CAR_daeac1ce90cbb568f1583b9377a3409c277094b6,0,gpt-4o,gpt-4o-2024-08-06
104_7,CAR_f33ab18d9f433da1dd64162661d0a4a86b1018b7,3,llama-3.1-8b-instant,gpt-4o-2024-08-06
104_8,CAR_1e3f073221d63f4b7c128bdc79580f9a93265799,0,gpt-4o|gpt-4o-mini|llama-3.1-8b-instant,gpt-4o-2024-08-06
104_8,CAR_308533168150ea3c27a52512457dfe4761036221,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
104_8,CAR_312f63f0f6c0e7a50d7b39675fd9a7535824943e,0,raw,gpt-4o-2024-08-06
104_8,CAR_32cf484f439fa185bb781a24c3c333ebf41a5e31,0,raw,gpt-4o-2024-08-06
104_8,CAR_7a38e35af14a57ab97550c72047204ea9f542c0a,0,llama-3.3-70b-versatile|t5,gpt-4o-2024-08-06
104_8,CAR_840d77803a46d4974ef400554e037144ae11ab5a,0,gpt-4o|gpt-4o-mini,gpt-4o-2024-08-06
104_8,CAR_a744cf67dc65f0708d055247ed6885935ddadab4,0,llama-3.3-70b-versatile|t5,gpt-4o-2024-08-06
104_8,CAR_b3d3fad6ecefa731684723fd9dc1442f2b02afe5,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
104_8,CAR_c065822186a3fec9c54f053c998ba752a2660f02,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
104_8,CAR_c804440c50c06c91eee60faf7891bbbd353fea69,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
104_8,CAR_e27b258513fcee1e0381854e52231a4dc0521af2,0,raw,gpt-4o-2024-08-06
104_8,CAR_e68f5e2abfb379b2c2787c83891893d83e41ce3b,0,raw,gpt-4o-2024-08-06
104_8,CAR_e881b60c97695aba734906e68f35fbc576641cae,0,llama-3.1-8b-instant|llama-3.3-70b-versatile|t5,gpt-4o-2024-08-06
104_8,MARCO_1404848,0,gpt-4o|gpt-4o-mini,gpt-4o-2024-08-06
104_8,MARCO_4734071,0,raw,gpt-4o-2024-08-06
104_8,MARCO_5047110,0,gpt-4o|gpt-4o-mini,gpt-4o-2024-08-06
104_8,MARCO_5286150,0,raw,gpt-4o-2024-08-06
104_8,MARCO_5939180,0,raw,gpt-4o-2024-08-06
104_9,CAR_0878603db177f1a756ddb1f98764a30e93248c74,2,gpt-4o|human|llama-3.3-70b-versatile|raw,gpt-4o-2024-08-06
104_9,CAR_497debce6403d697ead2743ec6ba34d91109d889,3,llama-3.1-8b-instant,gpt-4o-2024-08-06
104_9,CAR_72bc41b7ae74aab01460e72ecec8ff063cbb8d03,3,llama-3.1-8b-instant,gpt-4o-2024-08-06
104_9,CAR_b3d3fad6ecefa731684723fd9dc1442f2b02afe5,0,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
104_9,CAR_bef98d6918754412ee94604f3a5219a0cf834718,0,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
104_9,MARCO_1404848,0,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
104_9,MARCO_2003646,3,llama-3.1-8b-instant,gpt-4o-2024-08-06
104_9,MARCO_5245403,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
105_1,CAR_3bee1f7ad4fd68eef2160db2c4188363fe553254,1,gpt-4o-mini,gpt-4o-2024-08-06
105_1,MARCO_2098741,1,llama-3.3-70b-versatile,gpt-4o-2024-08-06
105_1,MARCO_368664,0,gpt-4o-mini,gpt-4o-2024-08-06
105_1,MARCO_4448910,0,human|llama-3.1-8b-instant|quretec|raw|t5,gpt-4o-2024-08-06
105_2,CAR_3bee1f7ad4fd68eef2160db2c4188363fe553254,0,gpt-4o|gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
105_2,CAR_90ddff4d01d6f8f205b715fc0189f03cfa6668eb,0,gpt-4o-mini,gpt-4o-2024-08-06
105_2,CAR_a5317dcbaeb2b1ea3649a7517263d6cb30da356a,0,gpt-4o,gpt-4o-2024-08-06
105_2,CAR_c472a7deb911945201945f7edccdd330c506eb5d,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
105_2,CAR_d007488104a8de9538601d03072eb1a053d3a82e,0,gpt-4o,gpt-4o-2024-08-06
105_2,CAR_d5ff8973a31c5bd96925859cd46a819a0fe2c2c1,0,raw,gpt-4o-2024-08-06
105_2,CAR_ed5f14538d457014f758d83b2609dac0ec1a1dbd,0,gpt-4o,gpt-4o-2024-08-06
105_2,MARCO_1453875,0,raw,gpt-4o-2024-08-06
105_2,MARCO_4310340,0,raw,gpt-4o-2024-08-06
105_2,MARCO_4448908,0,gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
105_2,MARCO_4556785,0,raw,gpt-4o-2024-08-06
105_2,MARCO_6399947,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
105_2,MARCO_7317647,0,raw,gpt-4o-2024-08-06
105_2,MARCO_8344507,0,raw,gpt-4o-2024-08-06
105_3,CAR_0297265b21bd7c893a0ba2c656e7965051ff2e22,0,gpt-4o-mini,gpt-4o-2024-08-06
105_3,CAR_02c61b397850e9b5c1e6b3235b69ae5ea5c70095,0,raw,gpt-4o-2024-08-06
105_3,CAR_10b552d81a5d1a840b90ac354c9249316cd1465d,0,raw,gpt-4o-2024-08-06
105_3,CAR_14457a33d0de24846ecde7d34070af6665939190,0,gpt-4o-mini,gpt-4o-2024-08-06
105_3,CAR_18604413c9de3fc3aac9f1389a6c6412a7fa59ab,0,raw,gpt-4o-2024-08-06
105_3,CAR_21a656c3120f079132b53e7e83cb5301c3bacfa1,0,gpt-4o-mini|llama-3.1-8b-instant,gpt-4o-2024-08-06
105_3,CAR_43c5b86c52513f6f5600fffc30ac399ea13576c6,0,raw,gpt-4o-2024-08-06
105_3,CAR_5c15b8f9711dd3e16adc5989ab6528b38516c56b,0,gpt-4o-mini,gpt-4o-2024-08-06
105_3,CAR_68ceadf44f3d0acef6ced4fd4581a69af75ed437,0,gpt-4o-mini,gpt-4o-2024-08-06
105_3,CAR_8a232a340a660b6467ba5236916b4745d9cf7c4f,0,gpt-4o-mini,gpt-4o-2024-08-06
105_3,CAR_97c1fb090cd28e9abfc266c1dcfecaeba8edbfc2,0,gpt-4o-mini,gpt-4o-2024-08-06
105_3,CAR_9be495972cc9390b521d833965d0282dba062dba,0,raw,gpt-4o-2024-08-06
105_3,CAR_9fda9bdafadf9f32a3d565efa73965a3e6108d6b,0,raw,gpt-4o-2024-08-06
105_3,CAR_a4b296ac5c0735afb0a20051d9403f6aa3f85ac3,0,raw,gpt-4o-2024-08-06
105_3,CAR_ad59cf22fa49776c52f79c78779ce67587244e15,0,llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
105_3,CAR_b3d07d5328d61abdd381eec402b00e56b2dbd52c,0,raw,gpt-4o-2024-08-06
105_3,CAR_e84dd6386e4d20a2046c025be553e173c8ab357e,0,gpt-4o-mini,gpt-4o-2024-08-06
105_3,CAR_e87f055bc3791db73e366ea00c3be090a52330fd,0,raw,gpt-4o-2024-08-06
105_3,CAR_fc3e9099cba69b1a1804eb1c888ff1c3d9066f4d,0,llama-3.3-70b-versatile|t5,gpt-4o-2024-08-06
105_3,MARCO_4404054,1,gpt-4o-mini,gpt-4o-2024-08-06
105_3,MARCO_928973,0,gpt-4o-mini,gpt-4o-2024-08-06
105_4,CAR_0a611d5f1a55afc3498e4654c36908e66bc84353,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
105_4,CAR_0e302eda186543daeb4979461f2393ab3d811226,1,gpt-4o,gpt-4o-2024-08-06
105_4,CAR_11812292848a6e065b495e8763bf37bbaeb7d8d4,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
105_4,CAR_269149218036a1163066d2ddb7a7fbfe9aa81685,1,gpt-4o-mini|human|llama-3.3-70b-versatile,gpt-4o-2024-08-06
105_4,CAR_29efecc35750adb93dc698f51c0f4195e1edfabc,0,gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
105_4,CAR_57efdb7fca2467651d50bd06a3304a7e0805c35f,1,gpt-4o,gpt-4o-2024-08-06
105_4,CAR_70393211394783fe10ddd28c2de94c566940d2a8,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
105_4,CAR_960352214d5ce8d4edc4bfc8aabd6d724f2f5759,1,gpt-4o,gpt-4o-2024-08-06
105_4,CAR_a7adb13878f00538a4c691570ef5b739bdf43d25,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
105_4,CAR_edc904188d3424c9ba3d378c0dd45d2760e1663e,0,gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
105_4,CAR_f7fec5365bb5bae7e928a716b858931a50be3f24,0,human,gpt-4o-2024-08-06
105_4,CAR_ffcaebaa228bf613f05f8a42ad4e657663adf331,0,quretec|raw,gpt-4o-2024-08-06
105_5,CAR_0a52a4ff78c9ac99b7050c0e57b409b4112a2575,0,quretec,gpt-4o-2024-08-06
105_5,CAR_0df2c1af655abfb817cb90f432aff5fb0458a2e0,0,raw,gpt-4o-2024-08-06
105_5,CAR_3ef48253c3a67db0666d48a9ab6d520f60c09772,0,raw,gpt-4o-2024-08-06
105_5,CAR_42182203f0011f5ca0f6406760a2591012cb71f8,0,raw,gpt-4o-2024-08-06
105_5,CAR_44ee2e0d0bfffaef0f2323a050063824b1f55e95,0,t5,gpt-4o-2024-08-06
105_5,CAR_55fef17feb0e71a19bd2185ad7928af861beb894,0,raw,gpt-4o-2024-08-06
105_5,CAR_5f712580307bc7d47ddf24c37864a1b5610eec13,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
105_5,CAR_834e5c21f699b459e484a430b0c3899816f872ce,0,raw,gpt-4o-2024-08-06
105_5,CAR_970ee5f246aeebb212244983eca1e17945078d20,0,raw,gpt-4o-2024-08-06
105_5,MARCO_368663,1,gpt-4o|gpt-4o-mini|human|llama-3.1-8b-instant|llama-3.3-70b-versatile|t5,gpt-4o-2024-08-06
105_5,MARCO_6758870,0,raw,gpt-4o-2024-08-06
105_5,MARCO_7951732,0,raw,gpt-4o-2024-08-06
105_5,MARCO_8483093,0,raw,gpt-4o-2024-08-06
105_5,MARCO_87940,0,raw,gpt-4o-2024-08-06
105_6,CAR_170e68b4686521a7f326be7c4b3aaa1a92e42fcf,2,llama-3.1-8b-instant,gpt-4o-2024-08-06
105_6,CAR_fe4b60ab9f541b095c83a482a53dd52b5f18bd78,1,gpt-4o|gpt-4o-mini|llama-3.1-8b-instant,gpt-4o-2024-08-06
105_6,MARCO_1218079,0,raw,gpt-4o-2024-08-06
105_6,MARCO_129903,0,raw,gpt-4o-2024-08-06
105_6,MARCO_1578189,0,raw,gpt-4o-2024-08-06
105_6,MARCO_1625394,0,raw,gpt-4o-2024-08-06
105_6,MARCO_2098740,2,gpt-4o,gpt-4o-2024-08-06
105_6,MARCO_2227311,0,raw,gpt-4o-2024-08-06
105_6,MARCO_2377112,0,raw,gpt-4o-2024-08-06
105_6,MARCO_2746363,0,raw,gpt-4o-2024-08-06
105_6,MARCO_3119297,0,raw,gpt-4o-2024-08-06
105_6,MARCO_3126213,1,t5,gpt-4o-2024-08-06
105_6,MARCO_816024,0,raw,gpt-4o-2024-08-06
105_6,MARCO_981045,0,raw,gpt-4o-2024-08-06
105_7,CAR_0e9009cfa814212077f567509f947972fc7f10cf,0,gpt-4o-mini,gpt-4o-2024-08-06
105_7,CAR_0ffb6975cd4de2c3917a7c787241d82d525fa24a,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
105_7,CAR_12372060be9ab2b2eae4f80d16e49ad70d6aeaca,0,raw,gpt-4o-2024-08-06
105_7,CAR_1c0b1e631fb0e1224949c58a446682569a958b6c,0,gpt-4o,gpt-4o-2024-08-06
105_7,CAR_37df2107e1868aec73c6f1a5cc2d0c33960038ba,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
105_7,CAR_4528ba7d0d1d0af6a27887fcb589dc81b99c1a68,0,t5,gpt-4o-2024-08-06
105_7,CAR_4a0e08ad4860fb4685abab0d97b6bb5e0cdc93d4,0,raw,gpt-4o-2024-08-06
105_7,CAR_51a6d8a39c62055a4d5a66cf46972e6e79dad4a9,0,gpt-4o-mini,gpt-4o-2024-08-06
105_7,CAR_59a1a612b5df46c8a2299d9fa972c10dbc2deb44,0,gpt-4o,gpt-4o-2024-08-06
105_7,CAR_694414a9b7952adea8f62bbf32f6ce7b3d455219,0,gpt-4o-mini,gpt-4o-2024-08-06
105_7,CAR_7acae7de2b31b46dd67bc9685071b25d1ab5eab4,0,gpt-4o,gpt-4o-2024-08-06
105_7,CAR_8398c1da6a5b69025befdbb37872462dfa2516ca,0,gpt-4o-mini,gpt-4o-2024-08-06
105_7,CAR_8851183b27dc5e48f34ddbb86f48e8fb61d960b5,0,llama-3.1-8b-instant|t5,gpt-4o-2024-08-06
105_7,CAR_903aaf85946b6c9943d9edf8861f0cf89a8497eb,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
105_7,CAR_aa439f1fb0a2b190e31a8e5f08d96d5912d27170,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
105_7,CAR_ab5e30371fda11e46a278fab8a2cfe69877d38a5,0,t5,gpt-4o-2024-08-06
105_7,CAR_b039c7d5d439533b39f36202bab40f0ee21aefb6,0,raw,gpt-4o-2024-08-06
105_7,CAR_b705c52d46e96bf5ce7f18eb61cdac2da60714f2,0,t5,gpt-4o-2024-08-06
105_7,CAR_bb0652f6c1f2a7f804aeb34e5fe283abd48b98f7,0,raw,gpt-4o-2024-08-06
105_7,CAR_c726f7ea7f9920f0b3a9f4c053211845f5912126,0,gpt-4o|llama-3.1-8b-instant,gpt-4o-2024-08-06
105_7,CAR_d3263bc8758b1928515d8340f40938fea5340894,0,gpt-4o-mini,gpt-4o-2024-08-06
105_7,CAR_dde7a75f3ae296d0353a9dde58f4bb364fda2b9d,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
105_7,CAR_e7dfc012843492334b17499a40c7a5e3eb94ef9e,0,raw,gpt-4o-2024-08-06
105_7,CAR_e98d990e978d0ec67f196ec9bdec4b52e565af3a,0,gpt-4o-mini,gpt-4o-2024-08-06
105_7,CAR_eb84a100368c47dfe5889fed57fc0a6b8ea98d6e,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
105_7,CAR_ef85c4fe71916d4d53878307a30b70b7c8465561,0,raw,gpt-4o-2024-08-06
105_7,CAR_f5a3a965a967f6cc3e0472ab0a4a5e10ca69fe8f,0,t5,gpt-4o-2024-08-06
105_7,MARCO_1432107,0,gpt-4o,gpt-4o-2024-08-06
105_7,MARCO_1461253,0,gpt-4o,gpt-4o-2024-08-06
105_7,MARCO_2078549,0,gpt-4o,gpt-4o-2024-08-06
105_7,MARCO_3791190,0,gpt-4o-mini,gpt-4o-2024-08-06
105_7,MARCO_5179989,0,gpt-4o-mini,gpt-4o-2024-08-06
105_7,MARCO_5437486,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
105_7,MARCO_6330533,0,gpt-4o-mini,gpt-4o-2024-08-06
105_7,MARCO_6399947,0,llama-3.3-70b-versatile|quretec,gpt-4o-2024-08-06
105_7,MARCO_7777962,0,gpt-4o-mini,gpt-4o-2024-08-06
105_7,MARCO_8134838,0,gpt-4o,gpt-4o-2024-08-06
