qid,docid,llm_grade,systems,model
43_2,MARCO_3962586,0,raw,gpt-4o-2024-08-06
43_2,MARCO_3962589,0,raw,gpt-4o-2024-08-06
43_2,MARCO_3962592,0,raw,gpt-4o-2024-08-06
43_2,MARCO_8056736,0,raw,gpt-4o-2024-08-06
43_3,CAR_00ba64d0d8cc19405f9ded93b33b89413a2d6085,0,raw,gpt-4o-2024-08-06
43_3,CAR_14cd19a345a248bd86b43135fdf57eb28852acbe,0,raw,gpt-4o-2024-08-06
43_3,CAR_2f4a6a098ccbd26233cbbfcf48f36bda45459aa9,0,raw,gpt-4o-2024-08-06
43_3,CAR_3897005384c28040888d186ebc991fc7b1cd3528,0,raw,gpt-4o-2024-08-06
43_3,CAR_3da8c4eb6d4b42a0473b0f6bc95f3662dde67511,0,raw,gpt-4o-2024-08-06
43_3,CAR_59d81c829b27ea45e9aa70152a55c2ceeaab0c08,0,raw,gpt-4o-2024-08-06
43_3,CAR_621fc658262d7c10710e81b384226f9bec401688,0,raw,gpt-4o-2024-08-06
43_3,CAR_9fe3af43d7651f23e0a79a6e23916b49e398b2f6,4,gpt-4o|llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
43_3,CAR_a127eaf10f821934b0c35705fda862e02a013527,1,gpt-4o|gpt-4o-mini|llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
43_3,CAR_e4a7415a3ecd144d226afaece4adee1efb981534,0,raw,gpt-4o-2024-08-06
43_3,CAR_ea8d62b1882d08d835036d88bd2ae05150ab19d4,0,raw,gpt-4o-2024-08-06
43_3,CAR_f1b5e79e06f1946f95cb69eb4a76f3f14a63ab23,0,gpt-4o|llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
43_3,MARCO_4957244,0,raw,gpt-4o-2024-08-06
43_4,CAR_1eaa797581035732f59016cf9c84a8544af3d5f0,0,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
43_4,CAR_29440e8336f7d3841534785c5dfe09e236c518c1,0,gpt-4o-mini,gpt-4o-2024-08-06
43_4,CAR_454be75cc43fe5bf69804068cdf4e3e1ca4a766f,0,gpt-4o|human|llama-3.3-70b-versatile|quretec,gpt-4o-2024-08-06
43_4,CAR_5210805d24a069090c7186e2c36212dcec4baa35,3,gpt-4o-mini,gpt-4o-2024-08-06
43_4,CAR_52546f013264441d39e2fa45d515384b82a31387,0,gpt-4o-mini,gpt-4o-2024-08-06
43_4,CAR_56965f5c64027543dfdcadaea90bf1118abea1be,0,raw|t5,gpt-4o-2024-08-06
43_4,CAR_71c945275d4681020f43288e9e5b3d671ace4e32,0,human|llama-3.1-8b-instant,gpt-4o-2024-08-06
43_4,CAR_8b11e2c37771bc6c2f3222a047c52656729e3742,0,gpt-4o-mini|raw|t5,gpt-4o-2024-08-06
43_4,CAR_afc968c1d74234c798b37d14e56513bbfe3dd1fe,4,gpt-4o-mini,gpt-4o-2024-08-06
43_4,CAR_c9b64df6a97f48dbf7c10b792f9f1c9129501593,0,gpt-4o-mini,gpt-4o-2024-08-06
43_4,CAR_dc1e58a2b0ab281f0d1ebdc276f18e4c6c8b45cd,1,raw|t5,gpt-4o-2024-08-06
43_4,CAR_e2415650ea6457ce62767ec66ca98b5838b37a50,0,gpt-4o-mini,gpt-4o-2024-08-06
43_5,CAR_235efa8e5dd5396881261f0f11723427e7a1ce37,0,raw,gpt-4o-2024-08-06
43_5,CAR_57b3b67b838eaa30692a94ea6f34f589b4481620,0,gpt-4o-mini,gpt-4o-2024-08-06
43_5,CAR_66168e510c3848f196284bddd1cdc127cc17bef1,0,gpt-4o,gpt-4o-2024-08-06
43_5,CAR_b2c5f1fddc57ac657700a68a7018b6e4288dfc72,0,raw,gpt-4o-2024-08-06
43_5,CAR_bde4cd925eafecab758646ebe23b042d682f251c,0,gpt-4o-mini,gpt-4o-2024-08-06
43_5,MARCO_4285294,0,gpt-4o-mini,gpt-4o-2024-08-06
43_5,MARCO_5710860,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
43_5,MARCO_6620375,0,gpt-4o-mini,gpt-4o-2024-08-06
43_5,MARCO_982479,0,gpt-4o-mini,gpt-4o-2024-08-06
43_6,CAR_07bac959b51e9583a416747c4f9f1c06c1176d09,0,raw,gpt-4o-2024-08-06
43_6,CAR_3f1a9a3c57c0cf5d18abcab12122d6da297d35cd,0,raw,gpt-4o-2024-08-06
43_6,CAR_44eff9b805eb912073d5c32ea391b558ea392945,1,gpt-4o,gpt-4o-2024-08-06
43_6,CAR_8d3e1ed9653aca1883b568f1dc13c0e2a441f164,0,raw,gpt-4o-2024-08-06
43_7,CAR_0f0940ff3b924fcd21386c589bbc64f5966e7bb3,0,quretec,gpt-4o-2024-08-06
43_7,CAR_3e8df258632017c11648843cebed8495204fb0ce,0,raw,gpt-4o-2024-08-06
43_7,CAR_600e2b31d6b31439c70f84d41e38e44402cfe380,0,gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
43_7,CAR_8a960048d60ee22fb78eb6f3bf4e1fc78c970ae8,0,t5,gpt-4o-2024-08-06
43_7,CAR_920c5c28c1468270cefb4cdd27b082618d282b63,0,raw,gpt-4o-2024-08-06
43_7,CAR_a60b0a184d4e5ccb034f77f181113920bd0f24ea,0,quretec,gpt-4o-2024-08-06
43_7,CAR_c76386026fa4646bc88713b2eba9618571eae934,0,raw,gpt-4o-2024-08-06
43_7,CAR_c80262d1e2a3d02230985574950927d740695ddc,0,raw,gpt-4o-2024-08-06
43_7,CAR_dc2798c55e49142a60914c652771bb788327f595,0,gpt-4o-mini|llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
43_7,CAR_f0f971c3a8e2b3de94ef191e92a9d5d09164cc1b,0,raw,gpt-4o-2024-08-06
43_7,MARCO_8646689,0,raw,gpt-4o-2024-08-06
43_8,CAR_213bc155348e97206a370e6a468af82216daf430,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
43_8,CAR_4e00d5799471d8fe183b21d28b7d1fcd18dc35cd,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
43_8,CAR_84c5a6e0a5df09e2209741573a03dbec0956a8bd,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
43_8,CAR_970bceebf3d5ed118d662bb8db3176d27477b93b,0,t5,gpt-4o-2024-08-06
43_8,CAR_9ce80f1d74ad8ffcfb30ec81d0bb8fe6688573f1,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
43_8,CAR_c4d062eaba1bd158d4852223628c1a945ae12cd1,0,t5,gpt-4o-2024-08-06
43_8,CAR_cd46a8e8df5abf8bb7721f5312768db3f26a8428,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
43_8,CAR_dac92573fc6a87245fc2fd544c6c39958e49941c,0,gpt-4o|gpt-4o-mini|human|quretec,gpt-4o-2024-08-06
43_8,CAR_e9436bcba0e14aa548391ea8a8012f0d975b7ea8,0,llama-3.1-8b-instant|t5,gpt-4o-2024-08-06
43_8,CAR_fff90a32ee3d412d7599a09291e93c719549cd84,0,t5,gpt-4o-2024-08-06
43_8,MARCO_1602914,0,raw,gpt-4o-2024-08-06
43_8,MARCO_3733470,0,raw,gpt-4o-2024-08-06
43_8,MARCO_5736205,0,raw,gpt-4o-2024-08-06
43_8,MARCO_7161642,0,raw,gpt-4o-2024-08-06
44_1,MARCO_1370606,1,gpt-4o-mini|human|llama-3.1-8b-instant|llama-3.3-70b-versatile|quretec|raw|t5,gpt-4o-2024-08-06
44_1,MARCO_5865714,2,gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_1,MARCO_6151485,2,llama-3.1-8b-instant,gpt-4o-2024-08-06
44_1,MARCO_6532774,2,llama-3.1-8b-instant,gpt-4o-2024-08-06
44_1,MARCO_6750385,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
44_1,MARCO_8823743,1,gpt-4o,gpt-4o-2024-08-06
44_2,CAR_b3bb918573607467375adbebcd385c69d2d46b5c,0,raw,gpt-4o-2024-08-06
44_2,MARCO_1150198,0,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_2,MARCO_177957,2,llama-3.1-8b-instant,gpt-4o-2024-08-06
44_2,MARCO_1909039,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_2,MARCO_2633314,0,raw,gpt-4o-2024-08-06
44_2,MARCO_4271204,1,gpt-4o-mini|quretec,gpt-4o-2024-08-06
44_2,MARCO_5465794,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_2,MARCO_5734435,0,gpt-4o-mini,gpt-4o-2024-08-06
44_2,MARCO_5892875,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_2,MARCO_6575939,3,llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_2,MARCO_7419446,0,raw,gpt-4o-2024-08-06
44_2,MARCO_8550944,0,raw,gpt-4o-2024-08-06
44_2,MARCO_971868,0,raw,gpt-4o-2024-08-06
44_3,CAR_2e0aec6e97ae2d28fd62020fc16e5b073a799bd8,3,llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_3,MARCO_1454509,0,human|t5,gpt-4o-2024-08-06
44_3,MARCO_1883097,2,llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_3,MARCO_2550800,3,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_3,MARCO_2653913,0,quretec|raw,gpt-4o-2024-08-06
44_3,MARCO_2922295,3,gpt-4o|gpt-4o-mini|llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_3,MARCO_3826256,3,gpt-4o|gpt-4o-mini,gpt-4o-2024-08-06
44_3,MARCO_4098227,0,quretec|raw,gpt-4o-2024-08-06
44_3,MARCO_4395101,3,gpt-4o|gpt-4o-mini,gpt-4o-2024-08-06
44_3,MARCO_5029838,0,quretec|raw,gpt-4o-2024-08-06
44_3,MARCO_5146542,3,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_3,MARCO_6846878,3,gpt-4o|gpt-4o-mini,gpt-4o-2024-08-06
44_3,MARCO_6889411,2,gpt-4o|gpt-4o-mini|llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_3,MARCO_7113282,2,llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_3,MARCO_7986836,3,gpt-4o|gpt-4o-mini|llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_3,MARCO_8692381,0,quretec|raw,gpt-4o-2024-08-06
44_4,MARCO_2127813,4,gpt-4o|gpt-4o-mini|llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_4,MARCO_3586446,1,t5,gpt-4o-2024-08-06
44_4,MARCO_476861,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
44_4,MARCO_7365485,3,llama-3.1-8b-instant,gpt-4o-2024-08-06
44_4,MARCO_748763,3,gpt-4o|gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_4,MARCO_8192617,4,gpt-4o-mini|llama-3.1-8b-instant,gpt-4o-2024-08-06
44_4,MARCO_8192622,4,gpt-4o-mini,gpt-4o-2024-08-06
44_4,MARCO_8549643,3,gpt-4o|gpt-4o-mini|llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_5,CAR_3c306e8bab89f66b2cc065d2ad8a7cd74de30dd1,0,quretec,gpt-4o-2024-08-06
44_5,CAR_a7e94fdb7d1a2f6cca6ad44c3b0009a08da231ef,0,quretec,gpt-4o-2024-08-06
44_5,MARCO_2208931,0,quretec,gpt-4o-2024-08-06
44_5,MARCO_3382911,0,raw,gpt-4o-2024-08-06
44_5,MARCO_37239,0,raw,gpt-4o-2024-08-06
44_5,MARCO_430840,3,gpt-4o|gpt-4o-mini|llama-3.1-8b-instant|llama-3.3-70b-versatile|t5,gpt-4o-2024-08-06
44_5,MARCO_430845,1,gpt-4o,gpt-4o-2024-08-06
44_5,MARCO_4880255,0,quretec,gpt-4o-2024-08-06
44_5,MARCO_6920281,0,quretec,gpt-4o-2024-08-06
44_5,MARCO_7179856,0,quretec,gpt-4o-2024-08-06
44_5,MARCO_729484,0,raw,gpt-4o-2024-08-06
44_5,MARCO_729489,0,raw,gpt-4o-2024-08-06
44_5,MARCO_7536274,0,quretec,gpt-4o-2024-08-06
44_5,MARCO_7851494,0,quretec,gpt-4o-2024-08-06
44_5,MARCO_8461099,0,raw,gpt-4o-2024-08-06
44_6,MARCO_1184039,0,raw,gpt-4o-2024-08-06
44_6,MARCO_1184041,0,raw,gpt-4o-2024-08-06
44_6,MARCO_145628,2,gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_6,MARCO_1514427,2,gpt-4o-mini,gpt-4o-2024-08-06
44_6,MARCO_1522219,0,raw,gpt-4o-2024-08-06
44_6,MARCO_3037883,4,gpt-4o-mini|llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_6,MARCO_4135544,2,llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_6,MARCO_5493011,0,raw,gpt-4o-2024-08-06
44_6,MARCO_5699192,0,raw,gpt-4o-2024-08-06
44_6,MARCO_5947257,0,raw,gpt-4o-2024-08-06
44_6,MARCO_6362919,3,gpt-4o-mini,gpt-4o-2024-08-06
44_6,MARCO_6552540,3,llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_6,MARCO_7029614,2,gpt-4o|human|t5,gpt-4o-2024-08-06
44_6,MARCO_7148775,4,gpt-4o-mini|llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_6,MARCO_7381655,0,raw,gpt-4o-2024-08-06
44_6,MARCO_7510509,3,llama-3.1-8b-instant,gpt-4o-2024-08-06
44_6,MARCO_7546032,4,llama-3.1-8b-instant,gpt-4o-2024-08-06
44_6,MARCO_7894563,3,gpt-4o|gpt-4o-mini|human|llama-3.1-8b-instant|llama-3.3-70b-versatile|quretec|t5,gpt-4o-2024-08-06
44_6,MARCO_8116639,0,raw,gpt-4o-2024-08-06
44_6,MARCO_8698750,3,human|quretec|t5,gpt-4o-2024-08-06
44_6,MARCO_98227,0,raw,gpt-4o-2024-08-06
44_7,CAR_b2542d2bf21e2ce3a4baf0b5a8faf2f0b2c9d2af,0,raw,gpt-4o-2024-08-06
44_7,CAR_bb5ec590d0e6f664cae793c3abab2ffb02aec788,0,raw,gpt-4o-2024-08-06
44_7,CAR_d401c028471dbeb08aab09b5ca539c82d7491961,0,raw,gpt-4o-2024-08-06
44_7,CAR_f1149d0e06761094abed4f02a726c7070cb4aad2,0,raw,gpt-4o-2024-08-06
44_7,CAR_fe00e048179e3dd427a77e150df62ba5f2a48f4f,0,raw,gpt-4o-2024-08-06
44_7,MARCO_2237464,3,gpt-4o|llama-3.3-70b-versatile|t5,gpt-4o-2024-08-06
44_7,MARCO_2534763,0,raw,gpt-4o-2024-08-06
44_7,MARCO_2550802,2,gpt-4o-mini,gpt-4o-2024-08-06
44_7,MARCO_3052266,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
44_7,MARCO_324822,2,quretec,gpt-4o-2024-08-06
44_7,MARCO_3341390,3,gpt-4o,gpt-4o-2024-08-06
44_7,MARCO_4249313,0,raw,gpt-4o-2024-08-06
44_7,MARCO_4521232,3,t5,gpt-4o-2024-08-06
44_7,MARCO_5424735,0,raw,gpt-4o-2024-08-06
44_7,MARCO_5676888,3,gpt-4o|gpt-4o-mini|llama-3.1-8b-instant|llama-3.3-70b-versatile|t5,gpt-4o-2024-08-06
44_7,MARCO_600235,0,raw,gpt-4o-2024-08-06
44_7,MARCO_6172311,2,llama-3.1-8b-instant,gpt-4o-2024-08-06
44_7,MARCO_6449259,3,gpt-4o-mini,gpt-4o-2024-08-06
44_7,MARCO_6615576,2,gpt-4o|gpt-4o-mini|human|llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_7,MARCO_6696451,1,llama-3.1-8b-instant|quretec,gpt-4o-2024-08-06
44_7,MARCO_7069180,0,quretec,gpt-4o-2024-08-06
44_7,MARCO_7148771,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
44_7,MARCO_8486124,3,gpt-4o|gpt-4o-mini|human|llama-3.1-8b-instant|llama-3.3-70b-versatile|t5,gpt-4o-2024-08-06
44_7,MARCO_8486125,3,gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_7,MARCO_8511641,2,gpt-4o-mini,gpt-4o-2024-08-06
44_7,MARCO_8522815,3,human|quretec,gpt-4o-2024-08-06
44_7,MARCO_869502,0,raw,gpt-4o-2024-08-06
44_7,MARCO_8821470,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
44_8,CAR_d2450c659b0f274c204e6479ec0136b203cdbe04,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
44_8,MARCO_1132778,0,t5,gpt-4o-2024-08-06
44_8,MARCO_1150198,0,gpt-4o-mini|llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_8,MARCO_118077,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_8,MARCO_118084,0,gpt-4o-mini,gpt-4o-2024-08-06
44_8,MARCO_2012273,0,gpt-4o-mini,gpt-4o-2024-08-06
44_8,MARCO_2603806,0,quretec|raw,gpt-4o-2024-08-06
44_8,MARCO_3223524,0,t5,gpt-4o-2024-08-06
44_8,MARCO_3947928,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_8,MARCO_4261620,0,gpt-4o|human|t5,gpt-4o-2024-08-06
44_8,MARCO_4649312,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_8,MARCO_470225,0,gpt-4o|human|llama-3.1-8b-instant,gpt-4o-2024-08-06
44_8,MARCO_5044612,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
44_8,MARCO_5047642,0,llama-3.3-70b-versatile|t5,gpt-4o-2024-08-06
44_8,MARCO_514615,0,gpt-4o-mini,gpt-4o-2024-08-06
44_8,MARCO_5277769,0,quretec|raw,gpt-4o-2024-08-06
44_8,MARCO_5794978,0,gpt-4o-mini,gpt-4o-2024-08-06
44_8,MARCO_61428,0,quretec|raw,gpt-4o-2024-08-06
44_8,MARCO_629984,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
44_8,MARCO_641108,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
44_8,MARCO_6593644,0,quretec|raw,gpt-4o-2024-08-06
44_8,MARCO_6998102,0,gpt-4o-mini,gpt-4o-2024-08-06
44_8,MARCO_8034724,0,t5,gpt-4o-2024-08-06
44_8,MARCO_8052575,0,quretec|raw,gpt-4o-2024-08-06
44_8,MARCO_8177337,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
44_8,MARCO_8279153,0,gpt-4o-mini,gpt-4o-2024-08-06
44_8,MARCO_8815272,0,quretec|raw,gpt-4o-2024-08-06
44_8,MARCO_942082,0,quretec|raw,gpt-4o-2024-08-06
45_1,CAR_5cef6c8564a4a080ef613fc0e0b8e4bd29146c8e,2,llama-3.1-8b-instant,gpt-4o-2024-08-06
45_1,CAR_7c3689a69c9f5cd10071f87db2bbd828e3a14e4e,2,llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_1,CAR_a5d03f052d10e678af0b99174506fb439a5f3b62,1,llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_1,MARCO_1242559,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
45_1,MARCO_1482762,0,gpt-4o-mini,gpt-4o-2024-08-06
45_1,MARCO_1561703,2,llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_1,MARCO_2350060,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
45_1,MARCO_2376226,1,gpt-4o-mini,gpt-4o-2024-08-06
45_1,MARCO_252529,0,human|quretec|raw|t5,gpt-4o-2024-08-06
45_1,MARCO_4768850,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_1,MARCO_562164,0,gpt-4o-mini,gpt-4o-2024-08-06
45_1,MARCO_6044190,1,llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_1,MARCO_6736532,1,llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_1,MARCO_771502,1,gpt-4o-mini,gpt-4o-2024-08-06
45_1,MARCO_7783290,1,gpt-4o-mini,gpt-4o-2024-08-06
45_1,MARCO_8067075,2,llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_1,MARCO_8087900,0,gpt-4o|human|quretec|raw|t5,gpt-4o-2024-08-06
45_1,MARCO_8309728,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
45_1,MARCO_8571164,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
45_2,CAR_d74e6ba0902e848d1a4dd5178a5c41609c221c3d,4,gpt-4o-mini,gpt-4o-2024-08-06
45_2,MARCO_1080224,3,gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_2,MARCO_1172531,0,raw,gpt-4o-2024-08-06
45_2,MARCO_1272062,3,llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_2,MARCO_2536906,0,quretec,gpt-4o-2024-08-06
45_2,MARCO_2669591,4,gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_2,MARCO_3496416,3,llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_2,MARCO_3980994,0,raw,gpt-4o-2024-08-06
45_2,MARCO_3982113,0,raw,gpt-4o-2024-08-06
45_2,MARCO_4419085,4,gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_2,MARCO_4924989,2,quretec|t5,gpt-4o-2024-08-06
45_2,MARCO_5226217,2,llama-3.1-8b-instant,gpt-4o-2024-08-06
45_2,MARCO_5243523,4,gpt-4o|gpt-4o-mini|llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_2,MARCO_5289667,4,gpt-4o-mini|llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_2,MARCO_6063028,4,llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_2,MARCO_6327522,3,gpt-4o-mini,gpt-4o-2024-08-06
45_2,MARCO_7181863,0,raw,gpt-4o-2024-08-06
45_2,MARCO_7447946,2,gpt-4o,gpt-4o-2024-08-06
45_2,MARCO_7733978,0,raw,gpt-4o-2024-08-06
45_2,MARCO_8646406,3,gpt-4o-mini,gpt-4o-2024-08-06
45_3,CAR_1b9639a8252567022fb1b950c63f1348d5062954,0,gpt-4o,gpt-4o-2024-08-06
45_3,CAR_2f64d7cd39e41f0a92e84d8dd7065ed15b01f3fb,2,gpt-4o,gpt-4o-2024-08-06
45_3,CAR_8a5c41796979b7e528272ce30fba9164c09fbef4,0,gpt-4o-mini,gpt-4o-2024-08-06
45_3,MARCO_1027347,0,human|quretec|raw|t5,gpt-4o-2024-08-06
45_3,MARCO_1265457,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
45_3,MARCO_1272062,1,llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_3,MARCO_2134035,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
45_3,MARCO_227857,0,human|quretec|raw|t5,gpt-4o-2024-08-06
45_3,MARCO_2300317,0,gpt-4o,gpt-4o-2024-08-06
45_3,MARCO_3047055,0,human|quretec|raw|t5,gpt-4o-2024-08-06
45_3,MARCO_3117241,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_3,MARCO_3252479,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
45_3,MARCO_4106101,2,llama-3.1-8b-instant,gpt-4o-2024-08-06
45_3,MARCO_4263917,3,llama-3.1-8b-instant,gpt-4o-2024-08-06
45_3,MARCO_4263918,3,llama-3.1-8b-instant,gpt-4o-2024-08-06
45_3,MARCO_4981588,2,llama-3.1-8b-instant,gpt-4o-2024-08-06
45_3,MARCO_515622,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
45_3,MARCO_5243523,0,gpt-4o,gpt-4o-2024-08-06
45_3,MARCO_5289667,1,llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_3,MARCO_5406843,1,gpt-4o-mini,gpt-4o-2024-08-06
45_3,MARCO_5587575,1,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_3,MARCO_5679468,0,llama-3.1-8b-instant,gpt-4o-2024-08-06
45_3,MARCO_6327522,0,gpt-4o|llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_3,MARCO_6327524,1,gpt-4o,gpt-4o-2024-08-06
45_3,MARCO_7447950,1,gpt-4o,gpt-4o-2024-08-06
45_3,MARCO_7805141,1,gpt-4o-mini,gpt-4o-2024-08-06
45_3,MARCO_8376498,1,llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_3,MARCO_8376505,1,gpt-4o,gpt-4o-2024-08-06
45_3,MARCO_8829479,1,gpt-4o-mini,gpt-4o-2024-08-06
45_4,MARCO_1605833,4,gpt-4o-mini|llama-3.1-8b-instant,gpt-4o-2024-08-06
45_4,MARCO_1806991,4,gpt-4o|gpt-4o-mini|llama-3.1-8b-instant,gpt-4o-2024-08-06
45_4,MARCO_182243,3,gpt-4o-mini,gpt-4o-2024-08-06
45_4,MARCO_3769237,4,gpt-4o-mini,gpt-4o-2024-08-06
45_4,MARCO_5419383,2,gpt-4o|llama-3.1-8b-instant,gpt-4o-2024-08-06
45_4,MARCO_6598545,4,gpt-4o-mini,gpt-4o-2024-08-06
45_4,MARCO_6828723,2,llama-3.1-8b-instant,gpt-4o-2024-08-06
45_4,MARCO_784133,4,human|llama-3.3-70b-versatile|quretec|raw|t5,gpt-4o-2024-08-06
45_4,MARCO_8305862,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
45_4,MARCO_87218,2,llama-3.1-8b-instant,gpt-4o-2024-08-06
45_4,MARCO_87221,4,human|quretec|raw|t5,gpt-4o-2024-08-06
45_5,CAR_16bc661cda85f5f9a4699898718542fcf3539ef4,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_5,CAR_2ce75b2d3f568e239853b3714b7111ea3e906bed,2,gpt-4o,gpt-4o-2024-08-06
45_5,CAR_4a42f00b33b74404798cb65e7a47bbefc3595e99,3,gpt-4o-mini|llama-3.1-8b-instant,gpt-4o-2024-08-06
45_5,CAR_5282dc5434e9fc065e90edcb1145e455b6f6e042,0,quretec|raw,gpt-4o-2024-08-06
45_5,CAR_6eb34ccda97ea4a93a9c2182b29a7b41938e2a78,1,gpt-4o-mini|llama-3.1-8b-instant|llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_5,CAR_d3d1ccc0482fc0b4e06cc1665941ac845a004b7e,0,gpt-4o-mini|llama-3.1-8b-instant,gpt-4o-2024-08-06
45_5,CAR_e36a9cfb5e250a56f6c969b56bbd880d5adc1383,3,gpt-4o-mini|llama-3.1-8b-instant,gpt-4o-2024-08-06
45_5,CAR_ec48d773d7bc1357b83f18e5e80f07526a2c2887,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_5,MARCO_1016560,2,gpt-4o,gpt-4o-2024-08-06
45_5,MARCO_138789,1,t5,gpt-4o-2024-08-06
45_5,MARCO_2013555,2,gpt-4o-mini|llama-3.1-8b-instant,gpt-4o-2024-08-06
45_5,MARCO_2448526,0,llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_5,MARCO_3256394,1,t5,gpt-4o-2024-08-06
45_5,MARCO_3265163,0,quretec|raw,gpt-4o-2024-08-06
45_5,MARCO_3749746,2,llama-3.3-70b-versatile,gpt-4o-2024-08-06
45_5,MARCO_4333667,1,llama-3.1-8b-instant,gpt-4o-2024-08-06
